index,label,precision,recall,f1,support
0,0_ก,0.9991610738255033,0.9991610738255033,0.9991610738255033,1192
1,10_ฎ,1.0,1.0,1.0,1196
2,11_ฐ,1.0,1.0,1.0,1197
3,12_ฑ,1.0,1.0,1.0,1198
4,13_ฒ,1.0,1.0,1.0,1199
5,14_ณ,0.9983333333333333,1.0,0.9991659716430359,1198
6,15_ด,0.9941812136325852,0.9991645781119465,0.9966666666666667,1197
7,16_ต,0.9991596638655462,0.9916597164303587,0.9953955629970699,1199
8,17_ถ,0.9983291562238931,0.9983291562238931,0.9983291562238931,1197
9,18_ท,1.0,0.9983291562238931,0.9991638795986622,1197
10,19_ธ,1.0,1.0,1.0,1196
11,1_ข,0.9974916387959866,0.9974916387959866,0.9974916387959866,1196
12,20_น,1.0,1.0,1.0,1198
13,21_บ,0.998330550918197,0.9991645781119465,0.9987473903966597,1197
14,22_ป,1.0,1.0,1.0,1193
15,23_ผ,1.0,1.0,1.0,1198
16,24_ฝ,1.0,1.0,1.0,1197
17,25_พ,1.0,0.9991659716430359,0.9995828118481435,1199
18,26_ฟ,0.9991652754590985,1.0,0.9995824634655532,1197
19,27_ภ,0.9966694421315571,0.9991652754590985,0.9979157982492706,1198
20,28_ม,1.0,1.0,1.0,1198
21,29_ย,0.9991652754590985,0.9991652754590985,0.9991652754590985,1198
22,2_ฃ,0.9950041631973355,0.9974958263772955,0.9962484368486869,1198
23,30_ร,1.0,1.0,1.0,1196
24,31_ฤ,1.0,1.0,1.0,1199
25,32_ล,0.9991638795986622,0.9983291562238931,0.9987463435018805,1197
26,33_ว,1.0,0.9991638795986622,0.999581764951903,1196
27,34_ศ,1.0,1.0,1.0,1196
28,35_ษ,0.9991652754590985,0.9991652754590985,0.9991652754590985,1198
29,36_ส,0.9991652754590985,1.0,0.9995824634655532,1197
30,37_ห,1.0,1.0,1.0,1199
31,38_ฬ,1.0,1.0,1.0,1198
32,39_อ,1.0,0.9983291562238931,0.9991638795986622,1197
33,3_ค,0.998330550918197,0.9974979149291076,0.9979140592407175,1199
34,40_ฮ,0.9991659716430359,1.0,0.9995828118481435,1198
35,41_ฯ,0.999163179916318,0.9983277591973244,0.998745294855709,1196
36,42_ั,0.9974853310980721,0.9983221476510067,0.9979035639412998,1192
37,43_า,0.9733676975945017,0.9561181434599156,0.9646658152405279,1185
38,44_ิ,1.0,0.9983235540653814,0.9991610738255033,1193
39,45_ี,0.99748322147651,0.9966471081307627,0.9970649895178197,1193
40,46_ึ,0.9975020815986678,0.9983333333333333,0.9979175343606831,1200
41,47_ื,0.9966555183946488,0.998324958123953,0.9974895397489539,1194
42,48_ุ,0.9958123953098827,0.99748322147651,0.9966471081307627,1192
43,49_ู,1.0,1.0,1.0,1194
44,4_ง,1.0,1.0,1.0,1196
45,50_เ,0.9941569282136895,0.9966527196652719,0.9954032595068951,1195
46,51_แ,1.0,0.9991645781119465,0.9995821145006268,1197
47,52_โ,0.9991603694374476,0.9974853310980721,0.9983221476510067,1193
48,53_ใ,0.9974853310980721,0.9983221476510067,0.9979035639412998,1192
49,54_ไ,0.9966527196652719,0.9983235540653814,0.9974874371859297,1193
50,55_ๅ,0.9608985024958403,0.9755067567567568,0.9681475272422464,1184
51,56_ๆ,0.9983277591973244,0.999163179916318,0.998745294855709,1195
52,57_็,0.9974937343358395,0.9974937343358395,0.9974937343358395,1197
53,58_่,0.9965841161400513,0.9940374787052811,0.9953091684434968,1174
54,59_้,0.9991610738255033,0.9983235540653814,0.9987421383647799,1193
55,5_จ,1.0,1.0,1.0,1196
56,60_๊,0.9983277591973244,1.0,0.999163179916318,1194
57,61_์,1.0,1.0,1.0,1194
58,62_๐,1.0,0.999163179916318,0.9995814148179154,1195
59,63_๑,1.0,1.0,1.0,1199
60,64_๒,1.0,1.0,1.0,1199
61,65_๓,0.9958402662229617,0.9991652754590985,0.9975,1198
62,66_๔,1.0,0.9991638795986622,0.999581764951903,1196
63,67_๕,0.9991659716430359,1.0,0.9995828118481435,1198
64,68_๖,1.0,1.0,1.0,1195
65,69_๗,1.0,0.9991659716430359,0.9995828118481435,1199
66,6_ฉ,1.0,1.0,1.0,1199
67,70_๘,0.9974958263772955,0.9974958263772955,0.9974958263772955,1198
68,71_๙,1.0,1.0,1.0,1197
69,7_ช,0.9966666666666667,0.9991645781119465,0.9979140592407175,1197
70,8_ซ,0.9983235540653814,0.9941569282136895,0.9962358845671268,1198
71,9_ญ,1.0,0.9983333333333333,0.9991659716430359,1200
